_id,employeeId,firstName,lastName,personalEmail,designation,joiningDate,isActive,createdAt,updatedAt,__v,department,phone,bankDetails.bankName,bankDetails.accountNumber,bankDetails.ifscCode,taxInfo.pan
691a11dbb2bb4a5505fa4057,EMP012,Keanu,Watsica,Keanu.Watsica@gmail.com,Central Configuration Technician,2021-11-10T15:55:42.528Z,true,2025-11-16T18:03:07.783Z,2025-11-16T18:03:07.783Z,0,Automotive,1728755371,"Connelly, Lindgren and Kunze Bank",238687985546,ZGQW01HIF0I,YPVST6698J
691a11dcb2bb4a5505fa4061,EMP013,Concepcion,Okuneva,Concepcion.Okuneva@hotmail.com,Regional Paradigm Director,2024-04-03T16:30:42.992Z,true,2025-11-16T18:03:08.126Z,2025-11-16T18:03:08.126Z,0,Industrial,1620913200,Predovic - Wintheiser Bank,503057883945,RAFD0E63F0Z,SUFMM5388T
691a11dcb2bb4a5505fa406b,EMP014,Elvis,Bashirian,Elvis_Bashirian@gmail.com,Internal Metrics Designer,2023-09-08T04:14:05.617Z,true,2025-11-16T18:03:08.437Z,2025-11-16T18:03:08.437Z,0,Computers,3692434371,Dibbert - Franecki Bank,742947602204,ASUY04KD1LZ,RMEHO8637A
691a11dcb2bb4a5505fa4075,EMP015,Jasmin,Auer,Jasmin.Auer@gmail.com,Direct Marketing Technician,2022-03-29T08:04:51.303Z,true,2025-11-16T18:03:08.739Z,2025-11-16T18:03:08.739Z,0,Kids,1657384552,"Hettinger, Zulauf and Tromp Bank",261495814271,YONQ066FFF5,XHODH8669E
691a11ddb2bb4a5505fa407f,EMP016,Elouise,Buckridge,Elouise_Buckridge@gmail.com,Central Implementation Analyst,2023-07-14T21:33:49.241Z,true,2025-11-16T18:03:09.047Z,2025-11-16T18:03:09.047Z,0,Jewelry,4356555832,Wilkinson - Brakus Bank,837950421199,LFMN00XM06G,ZHZLA4490Q
691a11ddb2bb4a5505fa4089,EMP017,Paul,O'Reilly,Paul.OReilly19@gmail.com,Global Implementation Technician,2022-11-01T05:31:34.176Z,true,2025-11-16T18:03:09.336Z,2025-11-16T18:03:09.336Z,0,Kids,5144207708,Marks and Sons Bank,589288580401,NFCO09HGM43,JLEDB0664C
691a11ddb2bb4a5505fa4093,EMP018,Kirk,Hahn,Kirk_Hahn90@gmail.com,International Identity Planner,2023-02-26T20:25:56.663Z,true,2025-11-16T18:03:09.666Z,2025-11-16T18:03:09.666Z,0,Garden,4678468821,"Leffler, Hauck and Harris Bank",314178036362,PGFI0X65534,IUIAH8473P
691a11ddb2bb4a5505fa409d,EMP019,Ena,Borer,Ena_Borer@gmail.com,Forward Implementation Engineer,2021-09-28T22:23:50.991Z,true,2025-11-16T18:03:09.952Z,2025-11-16T18:03:09.952Z,0,Garden,1483347468,Ondricka - Mraz Bank,153705334457,MYBX03WV790,DKDYJ4152F
691a11deb2bb4a5505fa40a7,EMP020,Stephania,Halvorson,Stephania.Halvorson@gmail.com,Lead Functionality Associate,2024-05-10T03:24:20.530Z,true,2025-11-16T18:03:10.278Z,2025-11-16T18:03:10.278Z,0,Clothing,1722799467,"Klocko, Kilback and Torphy Bank",086352579865,WPPP03I6O92,JJJYV0731I
691a11deb2bb4a5505fa40b1,EMP021,Reba,Funk,Reba.Funk5@hotmail.com,Direct Operations Architect,2024-05-01T04:08:28.362Z,true,2025-11-16T18:03:10.583Z,2025-11-16T18:03:10.583Z,0,Music,6909739460,Friesen LLC Bank,961934328459,OHRJ00LG066,VFDEX1579H
691a11deb2bb4a5505fa40bb,EMP022,Cody,Gleichner,Cody_Gleichner@hotmail.com,Central Web Officer,2023-11-09T03:46:47.687Z,true,2025-11-16T18:03:10.869Z,2025-11-16T18:03:10.869Z,0,Beauty,6567849789,Strosin - Ryan Bank,381332504046,MFLU0U5MKZ8,CEYMU9896Z
691a11dfb2bb4a5505fa40c5,EMP023,Kathryn,Miller,Kathryn_Miller@hotmail.com,Central Usability Strategist,2021-01-09T10:37:14.196Z,true,2025-11-16T18:03:11.144Z,2025-11-16T18:03:11.144Z,0,Garden,4174458952,Hand - Fadel Bank,086963375043,OWTM0H55F9A,HBHNK2835X
691a11dfb2bb4a5505fa40cf,EMP024,Harold,Predovic,Harold.Predovic92@gmail.com,Internal Accounts Coordinator,2025-04-16T18:20:20.372Z,true,2025-11-16T18:03:11.510Z,2025-11-16T18:03:11.510Z,0,Jewelry,9312477391,Mohr Group Bank,720130051363,PLFQ0626QEW,UQRRR7753T
691a11dfb2bb4a5505fa40d9,EMP025,Destin,Bogisich,Destin_Bogisich39@yahoo.com,District Group Facilitator,2025-05-23T23:45:43.092Z,true,2025-11-16T18:03:11.796Z,2025-11-16T18:03:11.796Z,0,Clothing,4308827233,Ziemann - Green Bank,889901916866,LPPY087061X,CJFPK8975L
